Key,Version,Timeline (Days after Entering Journey),Email Name,Preheader,Email Body Text,Links Clicked (Date range 9/3/2024 - 12/31/2024),Total Clicks,Unique Clicks,Net CTR,Version.1,Links Clicked (Date range 2/27/2024-9/3/2024),Total Clicks.1,Unique Clicks.1,Net CTR.1,Version.2,Links Clicked (Date range 10/6/2023 - 2/27/2024),Total Clicks.2,Unique Clicks.2,Net CTR.2
120,3,5,Email2_So Many Events You Won’t Want to Miss,There’s something for everyone,"Take some time to explore the news and upcoming events atthe School of Computing and Information! You may be surprised at the options you have to connect with professionals and engage with a like-minded community here. The University of Pittsburgh events calendar offers even more to explore.  

Your graduate program will go fast, so start early! From orientation onward, watch for chances to hear from guest speakers sponsored by the DEPARTMENT, network, and build relationships to last a lifetime.  

Events are a great way to shake up your graduate experience. We can’t wait to see which events you’ll attend! 

Student Services Signature ",featured events,3,3,0.038,2,facebook follow,1,1,0.0023,,,,,
120,3,5,Email2_So Many Events You Won’t Want to Miss,There’s something for everyone,"Take some time to explore the news and upcoming events atthe School of Computing and Information! You may be surprised at the options you have to connect with professionals and engage with a like-minded community here. The University of Pittsburgh events calendar offers even more to explore.  

Your graduate program will go fast, so start early! From orientation onward, watch for chances to hear from guest speakers sponsored by the DEPARTMENT, network, and build relationships to last a lifetime.  

Events are a great way to shake up your graduate experience. We can’t wait to see which events you’ll attend! 

Student Services Signature ",news in our School,2,2,0.026,2,,,,,,,,,
120,3,5,Email2_So Many Events You Won’t Want to Miss,There’s something for everyone,"Take some time to explore the news and upcoming events atthe School of Computing and Information! You may be surprised at the options you have to connect with professionals and engage with a like-minded community here. The University of Pittsburgh events calendar offers even more to explore.  

Your graduate program will go fast, so start early! From orientation onward, watch for chances to hear from guest speakers sponsored by the DEPARTMENT, network, and build relationships to last a lifetime.  

Events are a great way to shake up your graduate experience. We can’t wait to see which events you’ll attend! 

Student Services Signature ",University events calendar,2,2,0.026,2,,,,,,,,,
113,3,5,SCI News and Events - admits email,You won’t believe the access Pitt students have,"As a student at the University of Pittsburgh you’ll have access to valuable services and support, plus incredible events with an engaging campus community. Take some time to explore the news and events calendar for the School of Computing and Information, and use the University of Pittsburgh events calendar to see even more. This is how you can make the most of your graduate experience! 

We don’t wait – events start with Orientation and its activities, workshops, and social hours. You can hear from guest speakers sponsored by the DEPARTMENT, network with industry partners, and so much more.  

Events are a great way to enjoy time with your peers and learn from experts in your field, to expand your professional network and grow your personal worldview. We can’t wait to see which events you’ll attend! 

Student Services Signature ",https://pi.tt/studentcenter,6,4,0.0323,2,https://pi.tt/studentcenter,19,16,0.0374,1,featured events,10,8,0.0256
113,3,5,SCI News and Events - admits email,You won’t believe the access Pitt students have,"As a student at the University of Pittsburgh you’ll have access to valuable services and support, plus incredible events with an engaging campus community. Take some time to explore the news and events calendar for the School of Computing and Information, and use the University of Pittsburgh events calendar to see even more. This is how you can make the most of your graduate experience! 

We don’t wait – events start with Orientation and its activities, workshops, and social hours. You can hear from guest speakers sponsored by the DEPARTMENT, network with industry partners, and so much more.  

Events are a great way to enjoy time with your peers and learn from experts in your field, to expand your professional network and grow your personal worldview. We can’t wait to see which events you’ll attend! 

Student Services Signature ",featured events,4,4,0.0323,,featured events,16,12,0.028,,University events calendar,12,8,0.0256
113,3,5,SCI News and Events - admits email,You won’t believe the access Pitt students have,"As a student at the University of Pittsburgh you’ll have access to valuable services and support, plus incredible events with an engaging campus community. Take some time to explore the news and events calendar for the School of Computing and Information, and use the University of Pittsburgh events calendar to see even more. This is how you can make the most of your graduate experience! 

We don’t wait – events start with Orientation and its activities, workshops, and social hours. You can hear from guest speakers sponsored by the DEPARTMENT, network with industry partners, and so much more.  

Events are a great way to enjoy time with your peers and learn from experts in your field, to expand your professional network and grow your personal worldview. We can’t wait to see which events you’ll attend! 

Student Services Signature ",news in our School,5,4,0.0323,,University events calendar,11,8,0.0187,,https://pi.tt/studentcenter,11,7,0.0224
113,3,5,SCI News and Events - admits email,You won’t believe the access Pitt students have,"As a student at the University of Pittsburgh you’ll have access to valuable services and support, plus incredible events with an engaging campus community. Take some time to explore the news and events calendar for the School of Computing and Information, and use the University of Pittsburgh events calendar to see even more. This is how you can make the most of your graduate experience! 

We don’t wait – events start with Orientation and its activities, workshops, and social hours. You can hear from guest speakers sponsored by the DEPARTMENT, network with industry partners, and so much more.  

Events are a great way to enjoy time with your peers and learn from experts in your field, to expand your professional network and grow your personal worldview. We can’t wait to see which events you’ll attend! 

Student Services Signature ",University events calendar,4,3,0.0242,,news in our School,7,4,0.0093,,news in our School,4,3,0.0096
113,3,5,SCI News and Events - admits email,You won’t believe the access Pitt students have,"As a student at the University of Pittsburgh you’ll have access to valuable services and support, plus incredible events with an engaging campus community. Take some time to explore the news and events calendar for the School of Computing and Information, and use the University of Pittsburgh events calendar to see even more. This is how you can make the most of your graduate experience! 

We don’t wait – events start with Orientation and its activities, workshops, and social hours. You can hear from guest speakers sponsored by the DEPARTMENT, network with industry partners, and so much more.  

Events are a great way to enjoy time with your peers and learn from experts in your field, to expand your professional network and grow your personal worldview. We can’t wait to see which events you’ll attend! 

Student Services Signature ",,,,,,Schedule a Virtual Meeting with me!,4,2,0.0047,,Schedule a Virtual Meeting with me!,1,1,0.0032
119,3,5,Email3_Reaching Your Potential at Pitt,Drive innovation and accomplish something great with SCI ,"Pitt is recognized as a top-ranked university, a leading research university, and one of the world's most innovative.  As a leader in research, we are prepared to get you involved in research.  If you're interested in research with SCI, where we’re investigating and solving problems, and innovating new technology and solutions, check out SCI's ongoing research!  

Sincerely,  

Signature 
",https://pi.tt/studentcenter,3,3,0.039,2,https://pi.tt/studentcenter,33,21,0.0501,1,https://pi.tt/studentcenter,9,8,0.0257
119,3,5,Email3_Reaching Your Potential at Pitt,Drive innovation and accomplish something great with SCI ,"Pitt is recognized as a top-ranked university, a leading research university, and one of the world's most innovative.  As a leader in research, we are prepared to get you involved in research.  If you're interested in research with SCI, where we’re investigating and solving problems, and innovating new technology and solutions, check out SCI's ongoing research!  

Sincerely,  

Signature 
",,,,,,recently?recognized as many as 15 of Pitt’s Graduate Students,10,9,0.0215,,recently?recognized as many as 15 of Pitt’s Graduate Students,8,8,0.0257
119,3,5,Email3_Reaching Your Potential at Pitt,Drive innovation and accomplish something great with SCI ,"Pitt is recognized as a top-ranked university, a leading research university, and one of the world's most innovative.  As a leader in research, we are prepared to get you involved in research.  If you're interested in research with SCI, where we’re investigating and solving problems, and innovating new technology and solutions, check out SCI's ongoing research!  

Sincerely,  

Signature 
",,,,,,facebook follow,1,1,0.0024,,,,,
119,3,5,Email3_Reaching Your Potential at Pitt,Drive innovation and accomplish something great with SCI ,"Pitt is recognized as a top-ranked university, a leading research university, and one of the world's most innovative.  As a leader in research, we are prepared to get you involved in research.  If you're interested in research with SCI, where we’re investigating and solving problems, and innovating new technology and solutions, check out SCI's ongoing research!  

Sincerely,  

Signature 
",,,,,,linkedin follow,1,1,0.0024,,,,,
119,3,5,Email3_Reaching Your Potential at Pitt,Drive innovation and accomplish something great with SCI ,"Pitt is recognized as a top-ranked university, a leading research university, and one of the world's most innovative.  As a leader in research, we are prepared to get you involved in research.  If you're interested in research with SCI, where we’re investigating and solving problems, and innovating new technology and solutions, check out SCI's ongoing research!  

Sincerely,  

Signature 
",,,,,,twitter follow,1,1,0.0024,,,,,
112,3,5,University of Pittsburgh Video_SCI,The best way to know it is to see it!,"Consistently ranked as a top public university in the Northeast, the University of Pittsburgh is committed to high-quality research and educational excellence. Learn more about the resources and opportunities available to you at Pitt. COMMIT TO PITT",https://pi.tt/studentcenter,5,5,0.07,2,https://pi.tt/studentcenter,20,15,0.037,1,https://pi.tt/studentcenter,15,11,0.0359
112,3,5,University of Pittsburgh Video_SCI,The best way to know it is to see it!,"Consistently ranked as a top public university in the Northeast, the University of Pittsburgh is committed to high-quality research and educational excellence. Learn more about the resources and opportunities available to you at Pitt. COMMIT TO PITT",https://vimeo.com/524340781,2,1,0.014,,https://vimeo.com/524340781,8,7,0.0173,,https://vimeo.com/524340781,10,8,0.0261
112,3,5,University of Pittsburgh Video_SCI,The best way to know it is to see it!,"Consistently ranked as a top public university in the Northeast, the University of Pittsburgh is committed to high-quality research and educational excellence. Learn more about the resources and opportunities available to you at Pitt. COMMIT TO PITT",,,,,,https://www.sci.pitt.edu/student-resources/newly-admitted-students,1,1,0.0025,,,,,
118,3,5,Email4_Living in the city of Pittsburgh and community resources,We’ll help you get settled,"FIRST NAME,  

Don't be nervous! The city of Pittsburgh has been repeatedly ranked among the most livable cities in the nation. Still, we know moving to a new place can be intimidating; university resources are ready to help. 

The Office for Off-Campus Living has apartment listings and roommate searches, and it provides guides for reading leases and keeping your new home safe. If you’ve never lived in the US before, the Office of International Services hosts orientations and “field trip” activities to help you learn the city. 

And, your Pitt student ID card acts as bus fare to get you around! 

Cool Pittsburgh has great suggestions for where to eat and what to do – though don’t be shy to ask. Pittsburghers are happy to share their favorites! 

Signature ",?Cool Pittsburgh,3,3,0.044,,tps://pi.tt/studentcenter,11,9,0.0234,1,Cool Pittsburgh,12,11,0.0362
118,3,5,Email4_Living in the city of Pittsburgh and community resources,We’ll help you get settled,"FIRST NAME,  

Don't be nervous! The city of Pittsburgh has been repeatedly ranked among the most livable cities in the nation. Still, we know moving to a new place can be intimidating; university resources are ready to help. 

The Office for Off-Campus Living has apartment listings and roommate searches, and it provides guides for reading leases and keeping your new home safe. If you’ve never lived in the US before, the Office of International Services hosts orientations and “field trip” activities to help you learn the city. 

And, your Pitt student ID card acts as bus fare to get you around! 

Cool Pittsburgh has great suggestions for where to eat and what to do – though don’t be shy to ask. Pittsburghers are happy to share their favorites! 

Signature ",https://pi.tt/studentcenter,2,2,0.029,,?Cool Pittsburgh,13,8,0.0208,,https://pi.tt/studentcenter,10,7,0.023
118,3,5,Email4_Living in the city of Pittsburgh and community resources,We’ll help you get settled,"FIRST NAME,  

Don't be nervous! The city of Pittsburgh has been repeatedly ranked among the most livable cities in the nation. Still, we know moving to a new place can be intimidating; university resources are ready to help. 

The Office for Off-Campus Living has apartment listings and roommate searches, and it provides guides for reading leases and keeping your new home safe. If you’ve never lived in the US before, the Office of International Services hosts orientations and “field trip” activities to help you learn the city. 

And, your Pitt student ID card acts as bus fare to get you around! 

Cool Pittsburgh has great suggestions for where to eat and what to do – though don’t be shy to ask. Pittsburghers are happy to share their favorites! 

Signature ",Watch what our students have to say about Pittsburgh!,3,2,0.029,,free access to MANY of them,3,2,0.0052,,free bus,4,4,0.0132
118,3,5,Email4_Living in the city of Pittsburgh and community resources,We’ll help you get settled,"FIRST NAME,  

Don't be nervous! The city of Pittsburgh has been repeatedly ranked among the most livable cities in the nation. Still, we know moving to a new place can be intimidating; university resources are ready to help. 

The Office for Off-Campus Living has apartment listings and roommate searches, and it provides guides for reading leases and keeping your new home safe. If you’ve never lived in the US before, the Office of International Services hosts orientations and “field trip” activities to help you learn the city. 

And, your Pitt student ID card acts as bus fare to get you around! 

Cool Pittsburgh has great suggestions for where to eat and what to do – though don’t be shy to ask. Pittsburghers are happy to share their favorites! 

Signature ",free access to MANY of them,1,1,0.015,,https://www.sci.pitt.edu/student-resources/newly-admitted-students,1,1,0.0026,,Watch what our students have to say about Pittsburgh!,3,3,0.0099
118,3,5,Email4_Living in the city of Pittsburgh and community resources,We’ll help you get settled,"FIRST NAME,  

Don't be nervous! The city of Pittsburgh has been repeatedly ranked among the most livable cities in the nation. Still, we know moving to a new place can be intimidating; university resources are ready to help. 

The Office for Off-Campus Living has apartment listings and roommate searches, and it provides guides for reading leases and keeping your new home safe. If you’ve never lived in the US before, the Office of International Services hosts orientations and “field trip” activities to help you learn the city. 

And, your Pitt student ID card acts as bus fare to get you around! 

Cool Pittsburgh has great suggestions for where to eat and what to do – though don’t be shy to ask. Pittsburghers are happy to share their favorites! 

Signature ",free bus,2,1,0.015,,free bus,2,1,0.0026,,free access to MANY of them,3,2,0.0066
117,3,5,Email5_Welcome from Amanda Godley,,"Dear FIRST NAME, Congratulations on your admission to graduate study the University of Pittsburgh! As Vice Provost for Graduate Studies, I look forward to the opportunity to get to know you and to make your Pitt experience as positive and productive as it can be. The Graduate Studies office in the Office of the Provost serves all graduate students across the university and provides a range of resources and support, including opportunities for professional development, information about funding opportunities, and answers to questions about academics and student life. My background is in educational research and my academic home is the Department of Teaching, Learning and Leading in the School of Education. In addition to being a faculty member in the School of Education, I hold appointments in the Department of Linguistics and the Gender, Sexuality and Women's Studies program. In much of my research, I have focused on the perspectives of students, to being able to advocate for PItt's Graduate students builds upon my core values and experiences as a researcher, mentor, and teacher. In my 20 years at the university, I have gotten to know disciplines and programs across many schoolsd - and as vice provost for graduate studies, I am entirely committed to your health and safety, your academic and professional growth, and to a learning environment that values diversity, equity and inclusion. I invite you to continue to learn more about all the resources and support available to you as a graduate student at Pitt. I also encourage you to follow us on Twitter: @pittgradstudies. I am looking forward to personally welcoming you to Pitt. Prior to the start of the fall term, my team in graduate studies, in collaboration with other campus leaders and programs, will welcome you at a Graduate Student Orientation and picnic. I am confident you will find the University to be a dynamic setting to pursue your studies. With best wishes, Amanda J. Godley COMMIT TO PITT",resources and support,2,2,0.03,2,resources and support,20,12,0.0315,1,resources and support,15,10,0.0331
117,3,5,Email5_Welcome from Amanda Godley,,"Dear FIRST NAME, Congratulations on your admission to graduate study the University of Pittsburgh! As Vice Provost for Graduate Studies, I look forward to the opportunity to get to know you and to make your Pitt experience as positive and productive as it can be. The Graduate Studies office in the Office of the Provost serves all graduate students across the university and provides a range of resources and support, including opportunities for professional development, information about funding opportunities, and answers to questions about academics and student life. My background is in educational research and my academic home is the Department of Teaching, Learning and Leading in the School of Education. In addition to being a faculty member in the School of Education, I hold appointments in the Department of Linguistics and the Gender, Sexuality and Women's Studies program. In much of my research, I have focused on the perspectives of students, to being able to advocate for PItt's Graduate students builds upon my core values and experiences as a researcher, mentor, and teacher. In my 20 years at the university, I have gotten to know disciplines and programs across many schoolsd - and as vice provost for graduate studies, I am entirely committed to your health and safety, your academic and professional growth, and to a learning environment that values diversity, equity and inclusion. I invite you to continue to learn more about all the resources and support available to you as a graduate student at Pitt. I also encourage you to follow us on Twitter: @pittgradstudies. I am looking forward to personally welcoming you to Pitt. Prior to the start of the fall term, my team in graduate studies, in collaboration with other campus leaders and programs, will welcome you at a Graduate Student Orientation and picnic. I am confident you will find the University to be a dynamic setting to pursue your studies. With best wishes, Amanda J. Godley COMMIT TO PITT",Twitter: @PittGradStudies,3,2,0.03,,https://pi.tt/studentcenter,8,6,0.0157,,Twitter: @PittGradStudies,8,5,0.0166
117,3,5,Email5_Welcome from Amanda Godley,,"Dear FIRST NAME, Congratulations on your admission to graduate study the University of Pittsburgh! As Vice Provost for Graduate Studies, I look forward to the opportunity to get to know you and to make your Pitt experience as positive and productive as it can be. The Graduate Studies office in the Office of the Provost serves all graduate students across the university and provides a range of resources and support, including opportunities for professional development, information about funding opportunities, and answers to questions about academics and student life. My background is in educational research and my academic home is the Department of Teaching, Learning and Leading in the School of Education. In addition to being a faculty member in the School of Education, I hold appointments in the Department of Linguistics and the Gender, Sexuality and Women's Studies program. In much of my research, I have focused on the perspectives of students, to being able to advocate for PItt's Graduate students builds upon my core values and experiences as a researcher, mentor, and teacher. In my 20 years at the university, I have gotten to know disciplines and programs across many schoolsd - and as vice provost for graduate studies, I am entirely committed to your health and safety, your academic and professional growth, and to a learning environment that values diversity, equity and inclusion. I invite you to continue to learn more about all the resources and support available to you as a graduate student at Pitt. I also encourage you to follow us on Twitter: @pittgradstudies. I am looking forward to personally welcoming you to Pitt. Prior to the start of the fall term, my team in graduate studies, in collaboration with other campus leaders and programs, will welcome you at a Graduate Student Orientation and picnic. I am confident you will find the University to be a dynamic setting to pursue your studies. With best wishes, Amanda J. Godley COMMIT TO PITT",https://pi.tt/studentcenter,1,1,0.015,,Twitter: @PittGradStudies,2,2,0.0052,,https://pi.tt/studentcenter,3,2,0.0066
123,3,5,About SCI Video_SCI,,"Dear FIRST NAME, There's never been a better time to earn an advanced degree in the fields of Information Science, Computer Science, Telecommunications, Intelligent Systems, and Library and Information Science. Learn more about how we can prepare you to make a difgferent in today's increasingly interconnected world. COMMIT TO PITT",https://vimeo.com/532406348,2,2,0.031,2,https://pi.tt/studentcenter,21,15,0.0404,1,https://vimeo.com/532406348,13,7,0.0237
123,3,5,About SCI Video_SCI,,"Dear FIRST NAME, There's never been a better time to earn an advanced degree in the fields of Information Science, Computer Science, Telecommunications, Intelligent Systems, and Library and Information Science. Learn more about how we can prepare you to make a difgferent in today's increasingly interconnected world. COMMIT TO PITT",https://pi.tt/studentcenter,1,1,0.015,,https://vimeo.com/532406348,12,7,0.0189,,https://pi.tt/studentcenter,7,5,0.0169
123,3,5,About SCI Video_SCI,,"Dear FIRST NAME, There's never been a better time to earn an advanced degree in the fields of Information Science, Computer Science, Telecommunications, Intelligent Systems, and Library and Information Science. Learn more about how we can prepare you to make a difgferent in today's increasingly interconnected world. COMMIT TO PITT",,,,,,https://www.sci.pitt.edu/student-resources/newly-admitted-students,1,1,0.0027,,,,,
116,3,5,Email6_Get Involved at Pitt,Choosing just one might be the hardest part,"There are so many options, we’d get overwhelmed too! A great way to get started is in the community. Here’s a few suggestions to check out! 

1 – PittServes – a volunteer coordination office - connects people through service.SCI’s partnership with this office is iServe, which can connect you to service opportunities related to your interest in SCI!  

2 - Graduate and Professional Student Government hosts social, civic and cultural events, and provides services, too.  

3 – If you love sports, don’t forget about The Pittsburgh Panthers! With 19 division-1 teams, you’re sure to see a game worth remembering. 

4 – PITTARTS organizes excursions to performances, tours, and the cultural offerings of the city for free or highly discounted prices for every student to enjoy. 

Your graduate program will be work, but we hope you’ll balance it with play. A once-in-a-lifetime experience is possible at Pitt! 

Signature",University-wide organizations,4,2,0.034,2,https://pi.tt/studentcenter,19,8,0.0216,1,PITT ARTS,5,3,0.0106
116,3,5,Email6_Get Involved at Pitt,Choosing just one might be the hardest part,"There are so many options, we’d get overwhelmed too! A great way to get started is in the community. Here’s a few suggestions to check out! 

1 – PittServes – a volunteer coordination office - connects people through service.SCI’s partnership with this office is iServe, which can connect you to service opportunities related to your interest in SCI!  

2 - Graduate and Professional Student Government hosts social, civic and cultural events, and provides services, too.  

3 – If you love sports, don’t forget about The Pittsburgh Panthers! With 19 division-1 teams, you’re sure to see a game worth remembering. 

4 – PITTARTS organizes excursions to performances, tours, and the cultural offerings of the city for free or highly discounted prices for every student to enjoy. 

Your graduate program will be work, but we hope you’ll balance it with play. A once-in-a-lifetime experience is possible at Pitt! 

Signature",https://pi.tt/studentcenter,1,1,0.017,,Campus Recreation,4,4,0.0108,,https://pi.tt/studentcenter,3,2,0.007
116,3,5,Email6_Get Involved at Pitt,Choosing just one might be the hardest part,"There are so many options, we’d get overwhelmed too! A great way to get started is in the community. Here’s a few suggestions to check out! 

1 – PittServes – a volunteer coordination office - connects people through service.SCI’s partnership with this office is iServe, which can connect you to service opportunities related to your interest in SCI!  

2 - Graduate and Professional Student Government hosts social, civic and cultural events, and provides services, too.  

3 – If you love sports, don’t forget about The Pittsburgh Panthers! With 19 division-1 teams, you’re sure to see a game worth remembering. 

4 – PITTARTS organizes excursions to performances, tours, and the cultural offerings of the city for free or highly discounted prices for every student to enjoy. 

Your graduate program will be work, but we hope you’ll balance it with play. A once-in-a-lifetime experience is possible at Pitt! 

Signature",,,,,,PITT ARTS,4,3,0.0081,,Campus Recreation,3,2,0.007
116,3,5,Email6_Get Involved at Pitt,Choosing just one might be the hardest part,"There are so many options, we’d get overwhelmed too! A great way to get started is in the community. Here’s a few suggestions to check out! 

1 – PittServes – a volunteer coordination office - connects people through service.SCI’s partnership with this office is iServe, which can connect you to service opportunities related to your interest in SCI!  

2 - Graduate and Professional Student Government hosts social, civic and cultural events, and provides services, too.  

3 – If you love sports, don’t forget about The Pittsburgh Panthers! With 19 division-1 teams, you’re sure to see a game worth remembering. 

4 – PITTARTS organizes excursions to performances, tours, and the cultural offerings of the city for free or highly discounted prices for every student to enjoy. 

Your graduate program will be work, but we hope you’ll balance it with play. A once-in-a-lifetime experience is possible at Pitt! 

Signature",,,,,,University-wide organizations,3,3,0.0081,,University athletic events,2,2,0.007
